,Marca,Modelo,Precio,Potencia,Tipo vendedor,Categoría,Tipo de vehículo,puertas,Versión del país,Garantía,Kilometraje,Año,Tipo de cambio,Capacidad,Consumo de combustible,Color exterior,Color original,Tracción,plazas,Número de marchas,Número de cilindros,Peso,Tipo de combustible,Mes,Ciudad,CP,provincia
10,Mercedes-Benz,S 400,105900.0,330.0,Prof.,Sedán,Ocasión,4,España,24,19000.0,2022,Automático,1499.0,4.5,Gris,Selenita,Tracción delantera,4.0,6.0,3.0,1150.0,Diésel,10,Sitges,8870,Barcelona
11,Maserati,GranTurismo,34990.0,439.0,Prof.,Coupé,Ocasión,2,España,12,100000.0,2008,Automático,1332.0,3.7,Negro,Negro,Tracción delantera,5.0,6.0,4.0,1350.0,Gasolina,6,El arrecife/ la carlota,14191,Córdoba
12,Citroen,CX,7990.0,137.0,Prof.,Sedán,Clásica,4,España,12,122000.0,1986,Automático,5900.0,18.8,Gris,Gris,Tracción trasera,4.0,5.0,12.0,1995.0,Gasolina,5,Santa susanna,8398,Barcelona
13,BMW,640,29400.0,313.0,Prof.,Cabrio,Ocasión,2,España,12,127000.0,2012,Automático,4806.0,14.9,Gris,Gris,Tracción a las cuatro ruedas,5.0,6.0,8.0,2355.0,Diésel,7,Manresa,8241,Barcelona
14,Mercedes-Benz,C 220,45900.0,200.0,Prof.,Sedán,Ocasión,4,España,36,28934.0,2022,Automático,5474.0,17.7,Blanco polar,Blanco polar,Tracción trasera,2.0,6.0,12.0,1765.0,Diésel,11,Madrid,28045,Madrid
15,BMW,730,22900.0,258.0,Prof.,Sedán,Ocasión,4,España,12,187000.0,2014,Automático,1796.0,7.9,Negro,Negro,Tracción trasera,5.0,6.0,4.0,1485.0,Diésel,3,Barcelona,8006,Barcelona
16,Audi,RS6,125500.0,600.0,Prof.,Familiar,Ocasión,5,España,12,39900.0,2021,Automático,1497.0,5.5,Gris,Grey Nardo,Tracción delantera,5.0,6.0,4.0,1405.0,Gasolina,1,Terrassa,8223,Barcelona
17,BMW,730,23900.0,258.0,Prof.,Sedán,Ocasión,4,España,12,188000.0,2014,Automático,1595.0,7.6,Negro,Negro,Tracción delantera,5.0,6.0,4.0,1505.0,Diésel,10,Sant cugat del vallès,8173,Barcelona
18,Land Rover,Range Rover Evoque,21490.0,179.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,114000.0,2017,Automático,1498.0,4.3,Negro,Negro,Tracción delantera,5.0,6.0,4.0,1350.0,Diésel,1,Murcia,3007,Alicante/Alacant
19,Kia,Stinger,35900.0,366.0,Prof.,Sedán,Ocasión,5,España,12,56000.0,2019,Automático,6592.0,14.2,Rojo,ROJO,Tracción trasera,4.0,8.0,12.0,2135.0,Gasolina,4,Terrassa,8226,Barcelona
20,Mercedes-Benz,C 200,419001.0,204.0,Prof.,Sedán,Ocasión,4,España,24,20352.0,2021,Automático,6496.0,14.9,Gris,Gris,Tracción trasera,2.0,7.0,12.0,1525.0,Gasolina,11,Badajoz,6008,Badajoz
21,Mercedes-Benz,A 250,35900.0,160.0,Prof.,Sedán,Ocasión,5,España,24,17256.0,2022,Automático,3902.0,11.4,BLANCO POLAR - PINTURA UN,BLANCO POLAR - PINTURA UN,Tracción trasera,2.0,7.0,8.0,1330.0,Diésel,11,Madrid,28045,Madrid
22,Audi,A6 allroad,33150.0,272.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,82211.0,2018,Automático,1998.0,6.1,Negro,Negro,Tracción a las cuatro ruedas,5.0,7.0,4.0,1676.0,Diésel,12,Madrid,28042,Madrid
23,Land Rover,Range Rover Velar,34490.0,179.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,65830.0,2019,Automático,1498.0,4.3,Negro,Negro,Tracción delantera,5.0,6.0,4.0,1350.0,Diésel,8,Madrid,28002,Madrid
24,Mercedes-Benz,C 300,369001.0,245.0,Prof.,Sedán,Ocasión,4,España,12,11000.0,2019,Automático,3990.0,11.4,Gris,Gris,Tracción a las cuatro ruedas,2.0,8.0,8.0,1380.0,Diésel,7,Granollers,8401,Barcelona
25,Volkswagen,Golf,7990.0,140.0,Prof.,Coche pequeño,Ocasión,5,España,12,146000.0,2009,Manual,999.0,4.2,Azul,Azul,Tracción trasera,4.0,5.0,3.0,1160.0,Diésel,11,Algete,28110,Madrid
26,BMW,430,24790.0,252.0,Prof.,Coupé,Ocasión,5,España,12,68371.0,2019,Automático,1998.0,5.7,Blanco,Blanco,Tracción trasera,4.0,8.0,4.0,1545.0,Gasolina,5,Madrid,28021,Madrid
27,Volkswagen,T-Cross,14800.0,95.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,52674.0,2020,Manual,2993.0,6.9,Gris,Gris,Tracción a las cuatro ruedas,5.0,8.0,6.0,2115.0,Gasolina,9,Motril,18600,Granada
28,Mercedes-Benz,CLA 200,30900.0,163.0,Prof.,Coupé,Ocasión,4,España,24,66850.0,2019,Automático,3902.0,11.4,Negro,Negro Noche,Tracción trasera,2.0,7.0,8.0,1380.0,Gasolina,8,Logroño,26140,La Rioja
29,Citroen,C3,8995.0,102.0,Prof.,Sedán,Ocasión,5,España,12,39532.0,2021,Manual,1332.0,6.3,Blanco,Blanco,Tracción delantera,5.0,6.0,4.0,1379.0,Diésel,2,Santa cruz de tenerife,38108,Santa Cruz de Tenerife
30,BMW,X6,36990.0,313.0,Prof.,Coupé,Ocasión,5,España,12,159000.0,2015,Automático,1995.0,5.1,Blanco,Blanco,Tracción trasera,5.0,6.0,4.0,1650.0,Diésel,12,Arroyomolinos,28939,Madrid
31,Porsche,Macan,34990.0,258.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,164000.0,2015,Automático,1991.0,8.7,Gris-negro,Gris-negro,Tracción a las cuatro ruedas,7.0,5.0,4.0,1835.0,Diésel,2,Sabadell,8201,Barcelona
32,BMW,X5,1869001.0,625.0,Prof.,SUV/4x4/Pickup,Demostración,5,España,36,4100.0,2023,Automático,1499.0,4.7,Gris,M Brooklyn Grey Metallic,Tracción delantera,5.0,5.0,4.0,1165.0,Gasolina,8,Cardedeu,8440,Barcelona
33,Land Rover,Range Rover Evoque,300001.0,150.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,58000.0,2019,Automático,1199.0,5.1,Gris,R-DYNAMIC,Tracción delantera,5.0,6.0,3.0,1173.0,Diésel,5,San sebastian de los reyes,28703,Madrid
34,BMW,520,16995.0,184.0,Prof.,Sedán,Ocasión,5,España,12,149385.0,2016,Automático,1968.0,3.8,Gris,Gris,Tracción delantera,5.0,6.0,4.0,1420.0,Diésel,2,Manises,46940,Valencia/València
35,Mercedes-Benz,GLC 250,33790.0,204.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,86794.0,2018,Automático,1998.0,5.7,Plateado,Plateado,Tracción delantera,4.0,8.0,4.0,1220.0,Diésel,12,Madrid,28021,Madrid
36,Porsche,Cayenne,40990.0,462.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,189000.0,2018,Automático,1598.0,5.2,Negro,Negro,Tracción delantera,5.0,5.0,4.0,1265.0,Otros,1,Blanes,17300,Girona
37,Peugeot,Traveller,27990.0,122.0,Prof.,Monovolumen,Ocasión,4,España,12,44753.0,2018,Manual,1998.0,7.7,Negro,Negro,Tracción delantera,7.0,6.0,4.0,1655.0,Diésel,7,Bigues i riells,8415,Barcelona
38,Audi,R8,174900.0,620.0,Prof.,Coupé,Ocasión,2,España,12,18000.0,2021,Automático,1597.0,5.5,Gris,Gris Daytona efecto perla,Tracción delantera,5.0,6.0,4.0,1390.0,Gasolina,3,Paterna,46980,Valencia/València
39,Mercedes-Benz,G 63 AMG,239900.0,585.0,Prof.,SUV/4x4/Pickup,Demostración,5,España,36,4900.0,2023,Automático,1498.0,7.5,Negro,Negro Obsidiana,Tracción delantera,5.0,6.0,4.0,1510.0,Gasolina,6,Cardedeu,8440,Barcelona
40,Peugeot,2008,21147.0,102.0,Prof.,SUV/4x4/Pickup,KM0,5,España,36,2.0,2023,Manual,1984.0,7.8,Gris,Gris,Tracción delantera,5.0,7.0,4.0,1660.0,Gasolina,11,Coslada,28823,Madrid
41,Mercedes-Benz,E 220,6800.0,170.0,Prof.,Sedán,Ocasión,4,España,12,290900.0,2009,Automático,1995.0,4.4,Amarillo,Amarillo,Tracción a las cuatro ruedas,5.0,8.0,4.0,1600.0,Diésel,1,Madrid,28029,Madrid
42,Audi,A7,42890.0,286.0,Prof.,Coupé,Ocasión,5,España,12,100000.0,2019,Automático,1591.0,7.5,Blanco,Blanco,Tracción delantera,5.0,6.0,4.0,1449.0,Diésel,1,Lugones,33420,Asturias
43,Peugeot,407,5500.0,204.0,Prof.,Coupé,Ocasión,2,España,12,206301.0,2009,Automático,1598.0,6.6,Negro,Negro,Tracción delantera,5.0,5.0,4.0,1179.0,Diésel,8,Llano de brujas,30161,Murcia
44,Audi,Q5,22390.0,163.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,166000.0,2018,Automático,898.0,4.3,Negro,Negro,Tracción trasera,2.0,6.0,3.0,1955.0,Diésel,4,Murcia,3007,Alicante/Alacant
45,Cupra,Formentor,268001.0,150.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,60,21900.0,2022,Automático,2429.0,13.1,Gris,GRAPHENE,Tracción delantera,5.0,5.0,4.0,1420.0,Gasolina,2,Granada,18015,Granada
46,Peugeot,208,12495.0,102.0,Prof.,Coche pequeño,Ocasión,5,España,12,68048.0,2021,Manual,1500.0,6.8,Negro,Negro,Tracción delantera,5.0,6.0,4.0,1437.0,Gasolina,3,Alzira,46600,Valencia/València
47,Mercedes-Benz,E 220,36900.0,194.0,Prof.,Coupé,Ocasión,2,España,12,80700.0,2018,Automático,1499.0,5.5,Azul,Azul metalizado (CAVANSITE BLU,Tracción delantera,5.0,6.0,3.0,1365.0,Diésel,5,Tarragona,43004,Tarragona
48,BMW,X6,27990.0,235.0,Prof.,Coupé,Ocasión,5,España,12,168000.0,2010,Automático,2143.0,4.2,Negro,HAMANN,Tracción delantera,5.0,7.0,4.0,1525.0,Diésel,1,Boadilla del monte,28660,Madrid
49,Mercedes-Benz,S 350,36990.0,258.0,Prof.,Sedán,Ocasión,4,España,12,143887.0,2016,Automático,1998.0,6.9,Negro,Negro,Tracción a las cuatro ruedas,5.0,8.0,4.0,1555.0,Diésel,5,Leganes,28919,Madrid
50,Nissan,Qashqai,14990.0,150.0,Prof.,Sedán,Ocasión,5,España,12,74940.0,2019,Manual,2993.0,7.2,Blanco,BLANCO,Tracción a las cuatro ruedas,5.0,8.0,6.0,2230.0,Diésel,10,Madrid,28050,Madrid
51,Mercedes-Benz,E 450,45990.0,367.0,Prof.,Sedán,Ocasión,4,España,12,49000.0,2019,Automático,3990.0,21.3,Azul,Azul,Tracción a las cuatro ruedas,2.0,8.0,8.0,1580.0,Gasolina,2,Atarfe,18230,Granada
52,Mercedes-Benz,Viano,25990.0,163.0,Prof.,Monovolumen,Ocasión,4,España,12,143000.0,2011,Automático,2300.0,9.6,Marrón,Marrón,Tracción trasera,4.0,10.0,8.0,1659.0,Diésel,4,San sebastián de los reyes,28703,Madrid
53,Toyota,RAV 4,25890.0,222.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,97714.0,2020,Automático,1596.0,5.9,Blanco,Blanco,Tracción delantera,5.0,5.0,4.0,1189.0,Otros,7,Madrid,28021,Madrid
54,Ferrari,330,349999.0,300.0,Prof.,Otros,Clásica,5,España,12,74700.0,1964,Manual,2776.0,7.4,Gris,Gris,Tracción a las cuatro ruedas,5.0,6.0,4.0,2128.0,Gasolina,1,Marbella,29670,Málaga
55,Porsche,997,41990.0,355.0,Prof.,Coupé,Ocasión,2,España,12,155000.0,2005,Automático,4806.0,11.1,Negro,Negro,Tracción a las cuatro ruedas,4.0,7.0,6.0,1895.0,Gasolina,6,Guipuzcoa,20014,Gipuzkoa
56,Kia,Sorento,37500.0,230.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,72,14300.0,2023,Automático,1197.0,3.7,Plateado,Plateado,Tracción delantera,5.0,6.0,4.0,1205.0,Gasolina,2,Leganés,28914,Madrid
57,BMW,M4,49990.0,431.0,Prof.,Coupé,Ocasión,2,España,12,156300.0,2015,Manual,1984.0,7.7,Blanco,Perlado tricapa,Tracción a las cuatro ruedas,5.0,7.0,4.0,1644.0,Gasolina,6,Gatika,48110,Bizkaia
58,Lamborghini,Murciélago,285000.0,640.0,Prof.,Coupé,Ocasión,2,España,12,45000.0,2008,Manual,999.0,4.4,Blanco,Blanco Perla Original,Tracción delantera,5.0,5.0,3.0,1191.0,Gasolina,3,Barcelona,8008,Barcelona
59,Volvo,V90,36500.0,190.0,Prof.,Familiar,Ocasión,5,España,12,11500.0,2020,Automático,1968.0,5.5,Blanco,Blanco C614E,Tracción a las cuatro ruedas,5.0,7.0,4.0,1463.0,Diésel,12,Valencia,46015,Valencia/València
60,Mercedes-Benz,GLK 280,14500.0,231.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,227973.0,2008,Automático,1998.0,6.3,Negro,Negro,Tracción a las cuatro ruedas,5.0,6.0,4.0,1460.0,Gasolina,11,Vigo,36312,Pontevedra
61,Mercedes-Benz,V 250,395001.0,190.0,Prof.,Monovolumen,Ocasión,5,España,12,112247.0,2019,Automático,1598.0,5.4,Gris,Gris,Tracción delantera,4.0,6.0,4.0,1075.0,Diésel,6,Ponteaereas,36860,Pontevedra
62,Mercedes-Benz,CLS 300,409901.0,245.0,Prof.,Coupé,Ocasión,4,España,24,47069.0,2018,Automático,1499.0,6.1,Rojo,Rojo Jacinto (designo),Tracción delantera,4.0,6.0,3.0,1365.0,Diésel,9,Madrid,28022,Madrid
63,DS Automobiles,DS 7 Crossback,23990.0,129.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,34502.0,2021,Automático,1598.0,4.9,Gris,Gris,Tracción a las cuatro ruedas,5.0,8.0,4.0,1825.0,Diésel,9,Madrid,28002,Madrid
64,Mercedes-Benz,E 250,22400.0,204.0,Prof.,Sedán,Ocasión,4,España,12,150000.0,2014,Automático,1500.0,5.5,Gris,CUERO-NAVY-FAROS FULL LED,Tracción delantera,5.0,7.0,3.0,1230.0,Diésel,5,Boadilla del monte,28660,Madrid
65,Citroen,C3 Aircross,12690.0,110.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,67015.0,2022,Manual,1998.0,9.6,Blanco,Blanco,Tracción a las cuatro ruedas,5.0,5.0,4.0,1480.0,Gasolina,3,Madrid,28021,Madrid
66,DS Automobiles,DS 7 Crossback,25990.0,177.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,69000.0,2019,Automático,1560.0,3.8,Blanco,NACARADO,Tracción delantera,5.0,6.0,4.0,1365.0,Diésel,10,Parla,28982,Madrid
67,Mercedes-Benz,V,54525.0,239.0,Prof.,Monovolumen,Ocasión,4,España,24,57000.0,2019,Automático,1499.0,6.2,Negro,Negro Obsidiana,Tracción delantera,4.0,6.0,4.0,1130.0,Diésel,8,Barcelona,8830,Barcelona
68,BMW,X3,28900.0,190.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,167400.0,2019,Automático,1598.0,4.6,Azul,Azul,Tracción delantera,5.0,6.0,4.0,1310.0,Diésel,8,Arroyomolinos,28939,Madrid
69,Skoda,Superb,15590.0,150.0,Prof.,Sedán,Ocasión,5,España,12,162000.0,2018,Automático,1499.0,5.2,Negro,Negro,Tracción delantera,5.0,8.0,4.0,1343.0,Diésel,5,Parets del valles,8150,Barcelona
70,Nissan,Qashqai,13550.0,116.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,81675.0,2018,Manual,2495.0,8.9,Blanco,Blanco,Tracción a las cuatro ruedas,5.0,5.0,4.0,2085.0,Gasolina,5,Alcala de henares,28806,Madrid
71,BMW,535,17990.0,306.0,Prof.,Sedán,Ocasión,4,España,12,72934.0,2013,Manual,2894.0,8.7,Gris,Gris,Tracción a las cuatro ruedas,4.0,8.0,6.0,1730.0,Gasolina,1,Burgos,9001,Burgos
72,Mercedes-Benz,V,48244.0,163.0,Prof.,Monovolumen,Ocasión,4,España,24,51000.0,2021,Automático,2264.0,7.7,Negro,Negro Obsidiana,Tracción a las cuatro ruedas,5.0,6.0,4.0,1524.0,Diésel,10,Barcelona,8830,Barcelona
73,SEAT,Arona,15400.0,90.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,34500.0,2022,Manual,1991.0,5.2,Negro,Negro,Tracción delantera,5.0,5.0,4.0,1345.0,Gas licuado (GLP),3,Arroyomolinos,28939,Madrid
74,Audi,Q3,269901.0,150.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,66096.0,2019,Automático,2487.0,5.6,Azul,Azul,Tracción delantera,5.0,6.0,4.0,1700.0,Gasolina,4,Zaragoza,50011,Zaragoza
75,Peugeot,Traveller,25990.0,150.0,Prof.,Monovolumen,Ocasión,4,España,12,85000.0,2019,Manual,1497.0,5.5,Gris,Gris,Tracción delantera,5.0,6.0,4.0,1405.0,Diésel,6,Parets del valles,8150,Barcelona
76,Porsche,996,38500.0,320.0,Prof.,Coupé,Ocasión,2,España,12,187000.0,2003,Manual,898.0,5.2,Negro,NACIONAL-HISTORIAL COMPLETO SE,Tracción trasera,2.0,6.0,3.0,1785.0,Gasolina,5,Boadilla del monte,28660,Madrid
77,Dacia,Duster,7990.0,105.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,52640.0,2013,Manual,1498.0,5.3,Blanco,Blanco,Tracción delantera,5.0,6.0,4.0,1249.0,Gasolina,4,Alzira,46600,Valencia/València
78,Peugeot,408,289901.0,131.0,Prof.,Sedán,Ocasión,5,España,24,7287.0,2023,Automático,1461.0,4.5,Blanco,Blanco,Tracción delantera,5.0,5.0,4.0,1205.0,Gasolina,3,Leganes,28914,Madrid
79,Audi,S3,29900.0,300.0,Prof.,Coche pequeño,Ocasión,5,España,12,139500.0,2015,Automático,1968.0,5.1,Gris,Gris Efecto perla,Tracción a las cuatro ruedas,5.0,6.0,4.0,1487.0,Gasolina,5,Majadahonda,28222,Madrid
80,BMW,X6,79990.0,286.0,Prof.,Coupé,Ocasión,5,España,24,20000.0,2022,Automático,1997.0,8.1,Negro,Negro,Tracción delantera,5.0,5.0,4.0,1490.0,Diésel,8,Madrid,28049,Madrid
81,Mercedes-Benz,A 180,17990.0,116.0,Prof.,Coche pequeño,Ocasión,5,España,12,60842.0,2018,Manual,1364.0,4.8,Gris,Gris,Tracción delantera,5.0,6.0,4.0,1315.0,Diésel,4,Alcorcón,28923,Madrid
82,Peugeot,3008,9900.0,116.0,Prof.,Sedán,Ocasión,5,España,12,82710.0,2014,Manual,1395.0,6.4,Blanco,BLANCO,Tracción delantera,5.0,6.0,4.0,1660.0,Diésel,4,Sabadell,8201,Barcelona
83,Audi,A5,26818.0,190.0,Prof.,Sedán,Ocasión,5,España,12,63928.0,2018,Automático,1995.0,4.8,Azul,Azul,Tracción a las cuatro ruedas,5.0,8.0,4.0,1615.0,Diésel,5,Leganés,28914,Madrid
84,Mercedes-Benz,E 350,43900.0,299.0,Prof.,Coupé,Ocasión,2,España,24,84000.0,2019,Automático,1598.0,4.2,PLATA IRIDIO,PLATA IRIDIO,Tracción delantera,5.0,6.0,4.0,1310.0,Gasolina,1,Granollers,8400,Barcelona
85,Mercedes-Benz,E 350,42636.0,286.0,Prof.,Coupé,Ocasión,2,España,12,67864.0,2019,Automático,1496.0,3.7,Gris,Gris,Tracción delantera,5.0,6.0,3.0,1205.0,Diésel,7,Terrassa,8227,Barcelona
86,Mercedes-Benz,A 200,27918.0,150.0,Prof.,Sedán,Ocasión,4,España,12,30243.0,2020,Automático,3902.0,11.4,Blanco,Blanco,Tracción trasera,2.0,7.0,8.0,1330.0,Diésel,7,Sant adrià de besòs,8903,Barcelona
87,Renault,Megane,36990.0,300.0,Prof.,Coche pequeño,Demostración,5,España,24,5000.0,2022,Automático,1798.0,3.8,Blanco,Blanco,Tracción delantera,5.0,7.0,4.0,1370.0,Gasolina,9,Esplugues de llobregat,8950,Barcelona
88,Mercedes-Benz,GLC 220,630001.0,197.0,Prof.,SUV/4x4/Pickup,Demostración,5,España,30,4296.0,2023,Automático,999.0,3.8,Gris,Gris selenita metalizado,Tracción delantera,5.0,6.0,3.0,1257.0,Diésel,5,Murcia,30100,Murcia
89,BMW,X2,23990.0,150.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,69000.0,2018,Manual,1968.0,4.7,Gris,Gris,Tracción delantera,5.0,7.0,4.0,1648.0,Diésel,1,Arganda del rey,28500,Madrid
90,Kia,ProCeed / pro_cee'd,21818.0,204.0,Prof.,Coche pequeño,Ocasión,5,España,12,34133.0,2021,Automático,898.0,5.1,Blanco,Blanco,Tracción delantera,5.0,5.0,3.0,1173.0,Gasolina,3,Leganes,28914,Madrid
91,Mercedes-Benz,C 200,46900.0,204.0,Prof.,Sedán,KM0,4,España,24,5.0,2023,Automático,1995.0,5.6,Blanco,Blanco Polar,Tracción delantera,5.0,6.0,4.0,1335.0,Gasolina,9,Logroño,26140,La Rioja
92,Volvo,V90 Cross Country,29990.0,190.0,Prof.,Familiar,Ocasión,5,España,12,61722.0,2018,Automático,1395.0,5.4,Blanco,BLANCO - ICE WHITE,Tracción delantera,5.0,6.0,4.0,1437.0,Diésel,9,Reus,43204,Tarragona
93,Hyundai,SANTA FE,33490.0,200.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,35,36100.0,2021,Automático,2494.0,4.8,Gris,Gris,Tracción trasera,5.0,6.0,4.0,1730.0,Diésel,7,San sebastián de los reyes - madrid,28703,Madrid
94,Renault,Talisman,25490.0,160.0,Prof.,Sedán,Ocasión,4,España,12,35379.0,2021,Automático,1992.0,6.5,Gris,GRIS BALTICO,Tracción trasera,5.0,9.0,4.0,1650.0,Diésel,6,Madrid,28050,Madrid
95,Volkswagen,Golf,15735.0,110.0,Prof.,Coche pequeño,Ocasión,5,España,12,88340.0,2022,Manual,1499.0,4.7,Blanco,Blanco,Tracción delantera,5.0,6.0,4.0,1160.0,Gasolina,3,Manises,46940,Valencia/València
96,Nissan,Qashqai,6400.0,106.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,177000.0,2010,Manual,1999.0,5.3,Azul,Azul,Tracción a las cuatro ruedas,5.0,9.0,4.0,1785.0,Diésel,3,Huercal de almeria,4230,Almería
97,Mercedes-Benz,C 220,11500.0,170.0,Prof.,Sedán,Ocasión,4,España,12,202100.0,2012,Manual,3902.0,11.4,Negro,Negro,Tracción trasera,2.0,7.0,8.0,1470.0,Diésel,4,Rubí,8191,Barcelona
98,Mercedes-Benz,CLA 220,39800.0,190.0,Prof.,Coupé,Ocasión,4,España,12,43269.0,2020,Automático,3855.0,10.7,Gris,Vinilo Gris,Tracción trasera,4.0,8.0,8.0,1472.0,Diésel,12,Benicarlo,12580,Castellón/Castelló
99,DS Automobiles,DS 7 Crossback,25090.0,131.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,19895.0,2020,Manual,1242.0,4.9,Amarillo,Amarillo,Tracción delantera,4.0,5.0,4.0,1365.0,Diésel,7,Madrid,28021,Madrid
100,Mercedes-Benz,GLC 220,35999.0,194.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,75310.0,2019,Automático,2993.0,8.1,Azul,Azul,Tracción a las cuatro ruedas,5.0,6.0,6.0,2075.0,Diésel,5,Cerdanyola del valles,8110,Barcelona
101,Citroen,SAXO,11949.0,120.0,Prof.,Coche pequeño,Ocasión,3,España,12,178900.0,2002,Manual,4000.0,10.5,Blanco,Blanco,Tracción trasera,2.0,8.0,8.0,1630.0,Gasolina,3,Cordoba,14014,Córdoba
102,Volkswagen,T-Cross,179901.0,95.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,24,19900.0,2021,Manual,1368.0,6.8,Azul,Azul Arrecife (met),Tracción delantera,4.0,5.0,4.0,1065.0,Gasolina,11,Vic,8500,Barcelona
103,Mercedes-Benz,EQE 500,92727.0,408.0,Prof.,SUV/4x4/Pickup,Demostración,5,España,24,2000.0,2023,Automático,1242.0,5.1,MANUFAKTUR gris alpino,MANUFAKTUR gris alpino,Tracción delantera,4.0,5.0,4.0,1417.4199066874028,Eléctrico,7,Valencia,46470,Valencia/València
104,Peugeot,Rifter,13636.0,99.0,Prof.,Monovolumen,Ocasión,5,España,12,59000.0,2019,Manual,999.0,5.9,Blanco,Blanco,Tracción a las cuatro ruedas,5.0,8.0,3.0,1900.0,Diésel,6,San fernando de henares,28830,Madrid
